"DateTime","depth","temp","DateTime_H"
"2016-12-02 14:35:12",0.1,8.7574,2016-12-02 14:00:00
"2016-12-02 14:35:12",1,8.7036,2016-12-02 14:00:00
"2016-12-02 14:35:12",2,8.6171,2016-12-02 14:00:00
"2016-12-02 14:35:12",3,8.4897,2016-12-02 14:00:00
"2016-12-02 14:35:12",4,8.3821,2016-12-02 14:00:00
"2016-12-02 14:35:12",5,8.1329,2016-12-02 14:00:00
"2016-12-02 14:35:12",6,8.0515,2016-12-02 14:00:00
"2016-12-02 14:35:12",7,8.0219,2016-12-02 14:00:00
"2016-12-02 14:35:12",8,8.0107,2016-12-02 14:00:00
"2016-12-02 14:35:12",9,8.0059,2016-12-02 14:00:00
"2016-12-02 14:35:12",9.2,8.005,2016-12-02 14:00:00
"2017-02-06 09:30:00",0.1,4.45,2017-02-06 09:00:00
"2017-02-06 09:30:00",1,4.2,2017-02-06 09:00:00
"2017-02-06 09:30:00",2,4.1,2017-02-06 09:00:00
"2017-02-06 09:30:00",3,4.1,2017-02-06 09:00:00
"2017-02-06 09:30:00",4,4.1,2017-02-06 09:00:00
"2017-02-06 09:30:00",5,4.1,2017-02-06 09:00:00
"2017-02-06 09:30:00",6,4.1,2017-02-06 09:00:00
"2017-02-27 09:50:00",0.1,7.8,2017-02-27 09:00:00
"2017-02-27 09:50:00",1,8.9,2017-02-27 09:00:00
"2017-02-27 09:50:00",2,8.8,2017-02-27 09:00:00
"2017-02-27 09:50:00",3,8.2,2017-02-27 09:00:00
"2017-02-27 09:50:00",4,7.4,2017-02-27 09:00:00
"2017-02-27 09:50:00",5,7.1,2017-02-27 09:00:00
"2017-02-27 09:50:00",6,6.9,2017-02-27 09:00:00
"2017-02-27 09:50:00",8,6.6,2017-02-27 09:00:00
"2017-02-27 09:50:00",9,6.5,2017-02-27 09:00:00
"2017-02-27 09:50:00",9.2,6.5,2017-02-27 09:00:00
"2017-03-12 12:00:00",0.1,7.8657,2017-03-12 12:00:00
"2017-03-12 12:00:00",1,7.9477,2017-03-12 12:00:00
"2017-03-12 12:00:00",2,7.9806,2017-03-12 12:00:00
"2017-03-12 12:00:00",3,8.0272,2017-03-12 12:00:00
"2017-03-12 12:00:00",4,8.0348,2017-03-12 12:00:00
"2017-03-12 12:00:00",5,8.0632,2017-03-12 12:00:00
"2017-03-12 12:00:00",6,8.0734,2017-03-12 12:00:00
"2017-03-12 12:00:00",7,8.0211,2017-03-12 12:00:00
"2017-03-12 12:00:00",8,7.9196,2017-03-12 12:00:00
"2017-03-12 12:00:00",9,7.9164,2017-03-12 12:00:00
