name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
fsed_oxy1,1.4819,0.194538,1.09282,1.87097,1.4819,0.00166787,1.47856,1.48523
fsed_oxy2,1.2634,0.325257,0.612883,1.91391,1.2634,0.00176037,1.25988,1.26692
fsed_oxy3,1.05209,0.325257,0.401578,1.70261,1.05209,0.00148917,1.04911,1.05507
fsed_oxy4,1.09749,0.325257,0.446978,1.74801,1.09749,0.00203168,1.09343,1.10156
ksed_oxy,1.52776,0.424743,0.678273,2.37724,1.52776,0.00174172,1.52427,1.53124
thsed_oxy,0.0431345,0.0440228,-0.0449111,0.13118,0.0431345,0.000901662,0.0413312,0.0449379
rch4ox,-0.60206,0.468765,-1.53959,0.335471,-0.60206,0.00169211,-0.605444,-0.598676
kch4ox,0.69897,0.5,-0.30103,1.69897,0.69897,0.00184127,0.695287,0.702653
vtch4ox,0.0334238,0.0197953,-0.00616687,0.0730144,0.0334238,0.00161808,0.0301876,0.0366599
rpoc_resp,-4,1.25,-6.5,-1.5,-4,0.00200385,-4.00401,-3.99599
theta_pocr,0.0530784,0.0197953,0.0134878,0.0926691,0.0530784,0.00149739,0.0500837,0.0560732
kpocox_sed,0,0.25,-0.5,0.5,0,0.00202328,-0.00404655,0.00404655
diff_coef,-10.301,1.25,-12.801,-7.80103,-10.301,0.00169697,-10.3044,-10.2976
phi,-0.522879,0.036532,-0.595943,-0.449815,-0.522879,0.00162371,-0.526126,-0.519631
sed_z,-2,0.75,-3.5,-0.5,-2,0.00196931,-2.00394,-1.99606
z_dbl,-3,0.25,-3.5,-2.5,-3,0.00206733,-3.00413,-2.99587
rch4oxs,-2.52288,0.575257,-3.67339,-1.37236,-2.52288,0.00236793,-2.52761,-2.51814
kch4oxs,-3,0.75,-4.5,-1.5,-3,0.00213584,-3.00427,-2.99573
theta_ch4oxs,0.0211893,0.0197953,-0.0184013,0.0607799,0.0211893,0.00164093,0.0179074,0.0244712
gamma_max,-0.154902,0.0880456,-0.330993,0.0211893,-0.154902,0.00179509,-0.158492,-0.151312
kch4ox_diff,1.25527,0.305462,0.644348,1.8662,1.25527,0.00176814,1.25174,1.25881
