"DateTime","Depth","co2_obs","DateTime_H","pCO2"
2016-12-02 12:00:00,0.1,16.357109385,2016-12-02 12:00:00,5.19501e-05
2016-12-02 12:00:00,1.6,17.33588381,2016-12-02 12:00:00,5.50587e-05
2016-12-02 12:00:00,3.8,16.03393015,2016-12-02 12:00:00,5.09237e-05
2016-12-02 12:00:00,5,17.332880235,2016-12-02 12:00:00,5.50491e-05
2016-12-02 12:00:00,6.2,18.641147525,2016-12-02 12:00:00,5.92042e-05
2016-12-02 12:00:00,8,17.881397365,2016-12-02 12:00:00,5.67912e-05
2016-12-02 12:00:00,9,18.8354718,2016-12-02 12:00:00,5.98214e-05
2017-02-07 12:00:00,0.1,15.63135654,2017-02-07 12:00:00,4.96451e-05
2017-02-07 12:00:00,1.6,15.07577381,2017-02-07 12:00:00,4.78806e-05
2017-02-07 12:00:00,3.8,15.46649063,2017-02-07 12:00:00,4.91215e-05
2017-02-07 12:00:00,5,16.37791251,2017-02-07 12:00:00,5.20162e-05
2017-02-07 12:00:00,6.2,15.81471741,2017-02-07 12:00:00,5.02275e-05
2017-02-07 12:00:00,8,15.566942815,2017-02-07 12:00:00,4.94405e-05
2017-02-07 12:00:00,9,16.465766215,2017-02-07 12:00:00,5.22952e-05
2017-02-27 12:00:00,0.1,15.242522675,2017-02-27 12:00:00,4.84102e-05
2017-02-27 12:00:00,1.6,16.067565495,2017-02-27 12:00:00,5.10305e-05
2017-02-27 12:00:00,3.8,14.034503975,2017-02-27 12:00:00,4.45735e-05
2017-02-27 12:00:00,5,17.528490255,2017-02-27 12:00:00,5.56704e-05
2017-02-27 12:00:00,6.2,17.755572125,2017-02-27 12:00:00,5.63916e-05
2017-02-27 12:00:00,8,22.5825552,2017-02-27 12:00:00,7.17221e-05
2017-02-27 12:00:00,9,19.060705655,2017-02-27 12:00:00,6.05367e-05
2017-03-13 12:00:00,0.1,15.74087606,2017-03-13 12:00:00,4.99929e-05
2017-03-13 12:00:00,1.6,15.926793265,2017-03-13 12:00:00,5.05834e-05
2017-03-13 12:00:00,3.8,17.03534135,2017-03-13 12:00:00,5.41042e-05
2017-03-13 12:00:00,5,15.259533325,2017-03-13 12:00:00,4.84642e-05
2017-03-13 12:00:00,6.2,16.73773441,2017-03-13 12:00:00,5.3159e-05
2017-03-13 12:00:00,8,22.71328905,2017-03-13 12:00:00,7.21373e-05
2017-03-13 12:00:00,9,20.3070092,2017-03-13 12:00:00,6.4495e-05
2017-03-27 12:00:00,0.1,10.2578982205,2017-03-27 12:00:00,3.2579e-05
2017-03-27 12:00:00,1.6,9.286929188,2017-03-27 12:00:00,2.94952e-05
2017-03-27 12:00:00,3.8,11.75790719,2017-03-27 12:00:00,3.7343e-05
2017-03-27 12:00:00,5,14.20626483,2017-03-27 12:00:00,4.5119e-05
2017-03-27 12:00:00,6.2,13.96453852,2017-03-27 12:00:00,4.43513e-05
2017-03-27 12:00:00,9,23.31497142,2017-03-27 12:00:00,7.40482e-05
2017-04-10 12:00:00,0.1,20.065943135,2017-04-10 12:00:00,6.37293e-05
2017-04-10 12:00:00,1.6,16.73564094,2017-04-10 12:00:00,5.31523e-05
2017-04-10 12:00:00,5,26.18499835,2017-04-10 12:00:00,8.31634e-05
2017-04-10 12:00:00,8,27.143662045,2017-04-10 12:00:00,8.62081e-05
2017-04-10 12:00:00,9,39.501074945,2017-04-10 12:00:00,0.000125455
2017-04-17 12:00:00,0.1,18.84891028,2017-04-17 12:00:00,5.9864e-05
2017-04-17 12:00:00,3.8,13.63324408,2017-04-17 12:00:00,4.32991e-05
2017-04-17 12:00:00,6.2,22.804205825,2017-04-17 12:00:00,7.2426e-05
2017-04-17 12:00:00,8,33.464320005,2017-04-17 12:00:00,0.000106282
2017-04-17 12:00:00,9,35.145280455,2017-04-17 12:00:00,0.000111621
2017-04-24 12:00:00,0.1,16.62493945,2017-04-24 12:00:00,5.28007e-05
2017-04-24 12:00:00,1.6,17.91588346,2017-04-24 12:00:00,5.69007e-05
2017-04-24 12:00:00,3.8,28.92661193,2017-04-24 12:00:00,9.18708e-05
2017-04-24 12:00:00,5,18.162576605,2017-04-24 12:00:00,5.76842e-05
2017-04-24 12:00:00,6.2,38.62322867,2017-04-24 12:00:00,0.000122667
2017-04-24 12:00:00,8,36.980816785,2017-04-24 12:00:00,0.000117451
2017-04-24 12:00:00,9,39.84470596,2017-04-24 12:00:00,0.000126547
2017-05-05 12:00:00,0.1,15.64897044,2017-05-05 12:00:00,4.9701e-05
2017-05-05 12:00:00,1.6,18.2434317,2017-05-05 12:00:00,5.7941e-05
2017-05-05 12:00:00,3.8,25.92593959,2017-05-05 12:00:00,8.23406e-05
2017-05-05 12:00:00,5,38.55066923,2017-05-05 12:00:00,0.000122437
2017-05-05 12:00:00,6.2,51.5396986,2017-05-05 12:00:00,0.00016369
2017-05-05 12:00:00,8,55.064647665,2017-05-05 12:00:00,0.000174885
2017-05-05 12:00:00,9,58.986652695,2017-05-05 12:00:00,0.000187341
2017-05-08 12:00:00,0.1,21.88169696,2017-05-08 12:00:00,6.94962e-05
2017-05-08 12:00:00,1.6,19.32824514,2017-05-08 12:00:00,6.13864e-05
2017-05-08 12:00:00,5,31.990254815,2017-05-08 12:00:00,0.000101601
2017-05-08 12:00:00,6.2,55.613543305,2017-05-08 12:00:00,0.000176628
2017-05-08 12:00:00,8,65.97346346,2017-05-08 12:00:00,0.000209531
2017-05-08 12:00:00,9,67.139768615,2017-05-08 12:00:00,0.000213236
2017-05-15 12:00:00,0.1,12.9951132,2017-05-15 12:00:00,4.12724e-05
2017-05-15 12:00:00,3.8,23.95838547,2017-05-15 12:00:00,7.60917e-05
2017-05-15 12:00:00,5,27.242512745,2017-05-15 12:00:00,8.65221e-05
2017-05-15 12:00:00,6.2,41.21892824,2017-05-15 12:00:00,0.000130911
2017-05-15 12:00:00,9,67.589755185,2017-05-15 12:00:00,0.000214665
2017-05-22 12:00:00,0.1,16.5202131,2017-05-22 12:00:00,5.24681e-05
2017-05-22 12:00:00,1.6,16.83513011,2017-05-22 12:00:00,5.34683e-05
2017-05-22 12:00:00,3.8,63.132829785,2017-05-22 12:00:00,0.00020051
2017-05-22 12:00:00,5,97.706014435,2017-05-22 12:00:00,0.000310314
2017-05-22 12:00:00,6.2,75.758175235,2017-05-22 12:00:00,0.000240608
2017-05-22 12:00:00,8,44.731589625,2017-05-22 12:00:00,0.000142067
2017-05-22 12:00:00,9,105.4909012,2017-05-22 12:00:00,0.000335039
2017-05-29 12:00:00,0.1,14.27218209,2017-05-29 12:00:00,4.53284e-05
2017-05-29 12:00:00,1.6,16.917716175,2017-05-29 12:00:00,5.37306e-05
2017-05-29 12:00:00,3.8,58.27345456,2017-05-29 12:00:00,0.000185076
