time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain,Snow,AirPres
2016-12-20 00:00:00,-1.14,0,263.24,59.86,1.54,0,0,1032.916667
2016-12-20 01:00:00,-1.58,0,250.87,62.97,1.66,0,0,1032.333333
2016-12-20 02:00:00,-2.85,0,232.31,72.05,0.44,0,0,1032.133333
2016-12-20 03:00:00,-4.12,0,212.93,79.9,0.63,0,0,1032
2016-12-20 04:00:00,-5.08,0,206.06,82.32,1.06,0,0,1031.4
2016-12-20 05:00:00,-5.63,0,203.98,83.84,1,0,0,1031.35
2016-12-20 06:00:00,-6.2,0,201.95,85.75,1.17,0,0,1031.966667
2016-12-20 07:00:00,-6.74,NA,200.54,87.57,1.17,0,0,1031.866667
2016-12-20 08:00:00,-6.67,28.95,199.55,86.86,1.21,0,0,1031.5
2016-12-20 09:00:00,-3.52,230.67,201.07,67.49,1.72,0,0,1031.816667
2016-12-20 10:00:00,-2.16,453.25,208.99,60.46,1.46,0,0,1031.133333
2016-12-20 11:00:00,-0.5,538.39,218.71,58.15,1.27,0,0,1029.466667
2016-12-20 12:00:00,1.53,558.95,225.27,54.97,1.3,0,0,1027.8
2016-12-20 13:00:00,3.19,514.06,226.01,50.84,1.45,0,0,1026.6
2016-12-20 14:00:00,4.38,415.4,225.43,47.52,1.46,0,0,1025.533333
2016-12-20 15:00:00,3.86,96.66,231.56,49.74,1.52,0,0,1024.616667
2016-12-20 16:00:00,1.92,14.34,231.91,61.6,0.65,0,0,1024.233333
2016-12-20 17:00:00,-0.78,0,227.55,80.38,1.64,0,0,1024
2016-12-20 18:00:00,-1.87,0,222.07,84.43,1.86,0,0,1024
2016-12-20 19:00:00,-2.53,0,217.95,86.9,1.88,0,0,1023.633333
2016-12-20 20:00:00,-3,0,218.49,87.87,2.27,0,0,1023
2016-12-20 21:00:00,-1.98,0,227.51,83.29,3.29,0,0,1023
2016-12-20 22:00:00,-0.08,0,240.91,72.46,2.26,0,0,1022.283333
2016-12-20 23:00:00,2.51,0,253.38,51.6,3.41,0,0,1022
2016-12-21 00:00:00,2.48,0,241.78,49.69,3.33,0,0,1021.416667
2016-12-21 01:00:00,2.71,0,239.67,46.54,3.39,0,0,1021
2016-12-21 02:00:00,2.71,0,239.67,45.34,3.36,0,0,1021
2016-12-21 03:00:00,2.66,0,238,43.06,3.74,0,0,1021
2016-12-21 04:00:00,0.39,0,238.47,57.6,3.74,0,0,1021
2016-12-21 05:00:00,2.72,0,228.77,35.03,5.84,0,0,1021
2016-12-21 06:00:00,3.76,0,233.64,26.13,6.85,0,0,1021.583333
2016-12-21 07:00:00,3.29,NA,239.38,28.84,5.73,0,0,1022
2016-12-21 08:00:00,2.94,30.11,238.89,31.18,3.29,0,0,1022.733333
2016-12-21 09:00:00,4.03,236.14,243.49,27.9,2.94,0,0,1023.133333
2016-12-21 10:00:00,4.88,412.89,249.23,28.03,3.98,0,0,1024
2016-12-21 11:00:00,6.58,523.96,250.32,26.58,2.39,0,0,1023.666667
2016-12-21 12:00:00,8.56,544.86,254.76,22.94,1.32,0,0,1022.5
2016-12-21 13:00:00,10.04,502.85,259.19,20.87,1.22,0,0,1021.366667
2016-12-21 14:00:00,11.2,393.01,259.75,19.41,1.01,0,0,1021.55
2016-12-21 15:00:00,10.35,128.82,273.45,23.59,0.84,0,0,1022
2016-12-21 16:00:00,8.04,37.95,282.43,37.2,1.19,0,0,1022
2016-12-21 17:00:00,3.83,NA,270.45,62.41,1.87,0,0,1021.933333
2016-12-21 18:00:00,2.09,0,261.9,68.71,2.33,0,0,1022
2016-12-21 19:00:00,1.49,0,260.71,70.99,2.25,0,0,1022
